base,currency_pair,sell_price,buy_price,min_day,max_day,open_market_value,last_closing,date
Dólar Americano Dólar de Trinidad,USD/TTD,6.826,6.7694,6.7737,6.7977,6.7694,6.7694,27-07-2021
Dólar Americano Dólar Taiuanês,USD/TWD,28.089,28.059,28.007,28.115,28.053,28.04,27-07-2021
Dólar Americano Shilling Tanzaniano,USD/TZS,2.324,2.314,2.318,2.319.5,2.314,2.314,27-07-2021
Dólar Americano Hryvinia Ucraniana,USD/UAH,26.9302,26.8948,26.8353,27.215,26.9090,26.9191,27-07-2021
Dólar Americano Shilling Ugandês,USD/UGX,3.560,3.550,3.542,3.557,3.540,3.541,27-07-2021
Dólar Americano Peso Uruguaio,USD/UYU,43.82,43.8,43.76,43.81,43.74,43.74,27-07-2021
Dólar Americano Som Uzbequistanês,USD/UZS,10.675,10.665,10.657.35,10.670,10.636.04,10.652.35,27-07-2021
Dólar Americano Bolívar Venezuelano,USD/VES,3.885.813,3.876.099,3.880.956,3.880.956,3.876.099,3.876.099,27-07-2021
Dólar Americano Dong Vietnamita,USD/VND,23.008,23.005,23.006.5,23.022.5,23.008,23.008,27-07-2021
Dólar Americano Vatu de Vanuatu,USD/VUV,112,109,110.5,110.935,110.24,109.93,27-07-2021
Dólar Americano Franco CFA Central,USD/XAF,573.75,548.57,561.16,563.195,550.2,550.1,27-07-2021
Dólar Americano Dólar do Caribe Oriental,USD/XCD,2.72,2.7,2.7050,2.71,2.7,2.7,27-07-2021
Dólar Americano Franco CFA Ocidental,USD/XOF,559.5,552.5,556,563.815,558.53,558.63,27-07-2021
Dólar Americano Franco CFP,USD/XPF,101.4,100.55,100.975,101.54,100.94,100.95,27-07-2021
Dólar Americano Riyal Iemenita,USD/YER,256.3,246.3,251.3,251.35,246.35,246.35,27-07-2021
Dólar Americano Kwacha Zambiana,USD/ZMW,19.3,19.25,18.98,19.91,19.75,19.88,27-07-2021
Dirham dos Emirados Dólar Americano,AED/USD,0.2723,0.2722,0.2722,0.2723,0.2722,0.2722,27-07-2021
Peso Argentino Dólar Americano,ARS/USD,0.01036,0.01035,0.01035,0.01036,0.01036,0.01036,27-07-2021
Yuan Chinês Dólar Americano,CNY/USD,0.1536,0.1536,0.1536,0.1545,0.1543,0.1543,27-07-2021
Coroa Dinamarquesa Dólar Americano,DKK/USD,0.1591,0.1591,0.1583,0.1591,0.1588,0.1588,27-07-2021
Dólar de Hong Kong Dólar Americano,HKD/USD,0.1285,0.1285,0.1285,0.1286,0.1286,0.1286,27-07-2021
Novo Shekel Israelense Dólar Americano,ILS/USD,0.3075,0.3071,0.3067,0.3078,0.3071,0.3071,27-07-2021
Peso Mexicano Dólar Americano,MXN/USD,0.05004,0.05001,0.04966,0.05013,0.05001,0.05001,27-07-2021
Coroa Norueguesa Dólar Americano,NOK/USD,0.1127,0.1126,0.1123,0.1134,0.1132,0.1132,27-07-2021
Zlóti Polonês Dólar Americano,PLN/USD,0.2576,0.2574,0.2559,0.2578,0.2571,0.2571,27-07-2021
Rublo Russo Dólar Americano,RUB/USD,0.01355,0.01355,0.01353,0.01359,0.01356,0.01356,27-07-2021
Riyal Saudita Dólar Americano,SAR/USD,0.2669,0.2663,0.2665,0.2668,0.2666,0.2666,27-07-2021
Coroa Sueca Dólar Americano,SEK/USD,0.1161,0.1161,0.1155,0.1163,0.1159,0.1159,27-07-2021
Nova Lira Turca Dólar Americano,TRY/USD,0.1168,0.1166,0.1165,0.117,0.1169,0.1169,27-07-2021
Dólar Taiuanês Dólar Americano,TWD/USD,0.03564,0.0356,0.03559,0.0357,0.03565,0.03565,27-07-2021
Bolívar Venezuelano Dólar Americano,VES/USD,N/A,N/A,0,0,N/A,N/A,27-07-2021
Rand Sul-Africano Dólar Americano,ZAR/USD,0.06766,0.06758,0.06687,0.06772,0.06771,0.06771,27-07-2021
Peso Uruguaio Dólar Americano,UYU/USD,0.02283,0.02282,0.02283,0.02285,0.02285,0.02285,27-07-2021
Guarani Paraguaio Dólar Americano,PYG/USD,0.000145,0.000144,0.000144,0.000145,0.000145,0.000145,27-07-2021
Peso Chileno Dólar Americano,CLP/USD,0.001306,0.001305,0.001305,0.00132,0.001309,0.001309,27-07-2021
Peso Colombiano Dólar Americano,COP/USD,0.000255,0.000255,0.000255,0.000257,0.000256,0.000256,27-07-2021
Sol do Peru Dólar Americano,PEN/USD,0.2549,0.2548,0.2548,0.2559,0.256,0.256,27-07-2021
Córdoba Nicaraguense Dólar Americano,NIO/USD,0.02851,0.02845,0.0281,0.02848,0.02848,0.02848,27-07-2021
Boliviano Dólar Americano,BOB/USD,0.1464,0.1433,0.1448,0.1448,0.1448,0.1448,27-07-2021
Won Sul-Coreano Dólar Americano,KRW/USD,0.000866,0.000864,0.000864,0.00087,0.000867,0.000867,27-07-2021
Libra Egípcia Dólar Americano,EGP/USD,0.06394,0.06353,0.06359,0.06382,0.06374,0.06374,27-07-2021
Dólar Americano Rublo Bielorrusso,USD/BYN,2.5183,2.5111,2.5118,2.5237,2.5136,2.5114,27-07-2021
Dólar Americano Metical de Moçambique,USD/MZN,65,62.95,63.5,63.97,62.95,62.95,27-07-2021
Rúpia Indiana Dólar Americano,INR/USD,0.01342,0.01342,0.01342,0.01346,0.01345,0.01345,27-07-2021
Dinar Jordaniano Dólar Americano,JOD/USD,1.4124,1.4085,1.4101,1.4119,1.4065,1.4085,27-07-2021
Dinar Kuwaitiano Dólar Americano,KWD/USD,3.3303,3.3209,3.3234,3.3257,3.3245,3.3245,27-07-2021
Dólar Americano Manat Azeri,USD/AZN,1.7050,1.693,1.699,1.7107,1.693,1.693,27-07-2021
Dólar Americano Yuan chinês offshore,USD/CNH,6.5296,6.526,6.4774,6.5286,6.4817,6.482,27-07-2021
Dólar Americano Som Quirguistanês,USD/KGS,84.6105,84.5562,84.4371,84.5834,84.41,84.41,27-07-2021
Dólar Americano Somoni do Tajiquistão,USD/TJS,11.5,11.31,11.33,11.4050,11.31,11.31,27-07-2021
Dólar Americano Rublo Russo,USD/RUB,73.786,73.7703,73.5885,73.985,73.3985,73.5825,27-07-2021
Dólar Americano Real Brasileiro,USD/BRL,5.1669,5.1663,5.1666,5.186,5.1857,5.1863,27-07-2021
Dólar Americano Iene Japonês,USD/JPY,109.61,109.61,109.6,110.38,110.19,110.38,27-07-2021
Dólar Americano Franco Suíço,USD/CHF,0.9133,0.9133,0.9133,0.9186,0.9163,0.9157,27-07-2021
Ringgit Malaio Dólar Americano,MYR/USD,0.2364,0.2362,0.2362,0.2366,0.2362,0.2362,27-07-2021
Hryvinia Ucraniana Dólar Americano,UAH/USD,0.03718,0.03713,0.03711,0.03726,0.03711,0.03711,27-07-2021
Florim Húngaro Dólar Americano,HUF/USD,0.003295,0.003292,0.00325,0.003299,0.003266,0.003266,27-07-2021
Rupia Indonésia Dólar Americano,IDR/USD,0.00006892,0.00006891,0.00006883,0.00006913,0.0072784,0.00006883,27-07-2021
Dólar Americano Kwanza Angolano,USD/AOA,655,639,643.5,647,639,639,27-07-2021
Dong Vietnamita Dólar Americano,VND/USD,0.00004347,0.00004346,0.00004344,0.00004347,0.00004346,0.00004346,27-07-2021
Rublo Bielorrusso Dólar Americano,BYN/USD,0.3982,0.397,0.3963,0.3981,0.3976,0.3976,27-07-2021
Brent Spot Dólar Americano,XBR/USD,74.34,74.3,74.13,75.14,55.14,74.92,27-07-2021
Baht Tailandês Dólar Americano,THB/USD,0.0304,0.0304,0.0303,0.0305,0.0304,0.0304,27-07-2021
Peso Filipino Dólar Americano,PHP/USD,0.01981375,0.01974724,0.01974763,0.01989258,0.01986137,0.01986137,27-07-2021
Dólar Americano,USD/TMT,3.5,3.49,3.495,3.495,3.49,3.495,27-07-2021
Dólar Americano Rublo Russo,USD/RUB,74.3348,74.3348,74.3348,74.3348,74.3348,74.3348,27-07-2021
Prata Dólar Americano,XAGg/USD,0.7921,0.7918,0.7876,0.8123,0.8117,0.8117,27-07-2021
Dólar Americano Rublo Russo,USD/RUB,73.7869,73.7706,73.5885,73.985,73.3985,73.5825,27-07-2021
Dólar Americano Real Brasileiro Turismo,USD/BRLT,5.62,5.29,5.455,5.455,5.31,5.455,27-07-2021
Dólar Americano Mongolian Tugrik,USD/MNT,2.880,2.820,2.850,2.850,2.820,2.850,27-07-2021
Dólar Americano Afghani do Afeganistão,USD/AFN,80.17,79.97,79.75,80.14,80.04,80.04,27-07-2021
Afghani do Afeganistão Dólar Americano,AFN/USD,0.0125,0.0125,0.0125,0.0126,0.0126,0.0126,27-07-2021
Libra Síria Dólar Americano,SYP/USD,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,27-07-2021
Rial Iraniano Dólar Americano,IRR/USD,0.00002381,0.00002369,0.00002375,0.00002375,0.00002375,0.00002375,27-07-2021
Dinar Iraquiano Dólar Americano,IQD/USD,0.006859,0.006849,0.006847,0.006854,0.006849,0.006849,27-07-2021
Dólar Americano Rublo Russo,USD/RUB,76.445,76.4225,73.6030,74.268,73.7088,73.6775,27-07-2021
Dólar Americano Naira Nigeriana,USD/NGN,366,365,365.5,365.5,362,365.5,27-07-2021
Dólar Americano Naira Nigeriana,USD/NGN,360,357,358.5,358.5,357,358.5,27-07-2021
Dólar Americano Dólar Zimbabuense,USD/ZWL,87.778,83.496,85.637,85.637,83.372,85.637,27-07-2021
